start_time,end_time,filename,status,parsed_rows,error_rows,output_paths,output_sizes_bytes,duration_ms,error
2026-05-26 08:20:08,2026-05-26 08:20:09,vou_main_MAY_21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2021\month=05\day=01\vou_main_MAY_21_out.parquet","14642",604,""
2026-05-26 08:20:08,2026-05-26 08:20:09,vou_main_nov19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2019\month=11\day=01\vou_main_nov19_out.parquet","14796",583,""
2026-05-26 08:20:08,2026-05-26 08:20:09,VOU_MAIN_Nov_dec18_05Jan19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2018\month=11\day=01\VOU_MAIN_Nov_dec18_05Jan19_out.parquet","14539",610,""
2026-05-26 08:20:09,2026-05-26 08:20:09,vou_other_april21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2021\month=04\day=01\vou_other_april21_out.parquet","11127",438,""
2026-05-26 08:20:09,2026-05-26 08:20:09,vou_main_oct_20_feb06_21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2020\month=12\day=01\vou_main_oct_20_feb06_21_out.parquet","14610",608,""
2026-05-26 08:20:09,2026-05-26 08:20:09,VOU_OTHER_Aug_Nov18.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2018\month=07\day=01\VOU_OTHER_Aug_Nov18_out.parquet","11064",498,""
2026-05-26 08:20:09,2026-05-26 08:20:09,vou_main_sept_20.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2020\month=09\day=01\vou_main_sept_20_out.parquet","14632",569,""
2026-05-26 08:20:09,2026-05-26 08:20:10,vou_other_dec19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2019\month=12\day=01\vou_other_dec19_out.parquet","10969",498,""
2026-05-26 08:20:09,2026-05-26 08:20:10,vou_other_dec20_3rdApril21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2020\month=12\day=01\vou_other_dec20_3rdApril21_out.parquet","11118",458,""
2026-05-26 08:20:09,2026-05-26 08:20:10,vou_other_feb20_2May20.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2020\month=02\day=01\vou_other_feb20_2May20_out.parquet","11184",458,""
2026-05-26 08:20:09,2026-05-26 08:20:10,VOU_OTHER_feb_may_2018.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2018\month=02\day=25\VOU_OTHER_feb_may_2018_out.parquet","10454",479,""
2026-05-26 08:20:10,2026-05-26 08:20:10,vou_other_july_21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2021\month=07\day=01\vou_other_july_21_out.parquet","10987",446,""
2026-05-26 08:20:10,2026-05-26 08:20:10,vou_other_july_sept5_19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2020\month=07\day=01\vou_other_july_sept5_19_out.parquet","11071",390,""
2026-05-26 08:20:10,2026-05-26 08:20:10,vou_other_june20.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2020\month=06\day=14\vou_other_june20_out.parquet","11086",407,""
2026-05-26 08:20:10,2026-05-26 08:20:10,vou_other_june21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2021\month=06\day=01\vou_other_june21_out.parquet","11164",453,""
2026-05-26 08:20:10,2026-05-26 08:20:10,VOU_OTHER_may18.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2018\month=05\day=19\VOU_OTHER_may18_out.parquet","9988",428,""
2026-05-26 08:20:10,2026-05-26 08:20:10,vou_other_may_21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2021\month=05\day=01\vou_other_may_21_out.parquet","11030",402,""
2026-05-26 08:20:10,2026-05-26 08:20:10,vou_other_nov19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2019\month=11\day=01\vou_other_nov19_out.parquet","10950",400,""
2026-05-26 08:20:10,2026-05-26 08:20:11,VOU_OTHER_Nov_dec18_05Jan19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2018\month=11\day=01\VOU_OTHER_Nov_dec18_05Jan19_out.parquet","10902",379,""
2026-05-26 08:20:10,2026-05-26 08:20:11,vou_other_sept_other_20.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2020\month=09\day=01\vou_other_sept_other_20_out.parquet","11019",277,""
